NUM_OPER,MONTOCREDITO_log_est,MONTOCUOTA_log_est,SALDOCAPITAL_POR_VENCER_log_est,NUMERORENEGOCIACION_log_est,PLAZO_est,TASAINTERES_est,DIAS_MADURACION_est,DIAS_RESTANTES_est,PRODUCTO_COD_PROD_2_e,TIPOTASACOD_V_e,PERIOD_PAGO_OTROS_e
1826,0.032767564,-0.022684854,-1.425588,0.0,-0.09631682,-0.019386724,0.03640461,0.018954175,-0.010049863,0.0,0.0
1836,0.041727424,-0.022645459,-1.4467931,0.0,-0.10819567,-0.021014247,0.0871573,-0.0057055624,-0.010430692,0.0,0.0
1850,-0.15131769,-0.03199819,-1.2736132,0.0,0.4244193,-0.18855494,0.22387838,0.013659599,-0.008132574,0.0,0.0
1861,-0.06757355,-0.04856157,-1.388146,0.0,-0.06944614,-0.049513355,0.068496995,-0.008968594,-0.009262201,0.0,0.0
1865,-0.006808395,0.0011759842,1.648424,0.0,-0.03850665,-0.008148678,0.04295801,0.0019030585,-0.0046002436,0.0,0.0
1873,0.07318566,0.03719017,-1.4175566,0.0,-0.078280844,-0.0027898354,0.029652432,0.029378047,-0.010297634,0.0,0.0
1889,0.018743198,-0.00061719934,1.6038445,0.0,-0.026752573,-0.0076648016,0.050910812,0.0024523104,-0.0045192535,0.0,0.0
1929,-0.061537474,-0.04748243,-1.4043114,0.0,-0.10891429,-0.03138774,0.06501267,-0.006308474,-0.009319741,0.0,0.0
1942,-0.012852095,-0.0071587665,1.6367732,0.0,-0.005662872,-0.015664764,0.042403024,0.003159602,-0.0046002436,0.0,0.0
1946,-0.049143724,-0.04876601,-1.398038,0.0,-0.09609619,-0.03184585,0.07062163,-0.008796725,-0.010909749,0.0,0.0
1969,0.0904491,0.03798122,-1.3769256,0.0,-0.099174336,-0.012044646,0.12374494,-0.0011302247,-0.0081785545,0.0,0.0
1977,-0.08116307,-0.059562802,-1.3806982,0.0,-0.04502295,-0.04659093,0.090747856,0.0016942051,-0.010282114,0.0,0.0
1996,-0.026823655,-0.0027519974,-1.4178566,0.0,-0.092708424,-0.02958044,-0.01857191,0.026341133,-0.011022676,0.0,0.0
1998,-0.08116307,-0.04876601,-1.3725042,0.0,-0.047821037,-0.06003813,0.087943815,0.0017528472,-0.010282114,0.0,0.0
1999,-0.0853601,-0.059562802,-1.3682603,0.0,-0.042711046,-0.058885865,0.091598585,0.0021674691,-0.009864043,0.0,0.0
2007,-0.0515049,0.019774148,-1.3583493,0.0,-0.117960416,-0.00817169,0.1121932,-0.0024120202,-0.010282114,0.0,0.0
2012,0.06374093,-0.021893801,-1.4087448,0.0,-0.008440665,-0.03691159,0.119407505,0.004736511,-0.009788141,0.0,0.0
2018,0.06946352,0.03798122,-1.4249028,0.0,-0.097515345,-0.011086244,0.10209641,-0.0051396014,-0.010415776,0.0,0.0
2027,-0.028276905,-0.0936661,-1.3657613,0.0,0.11558754,-0.08063218,0.10033923,0.013840707,-0.006773673,0.0,0.0
2028,-0.028253477,-0.00547666,-1.4127767,0.0,-0.093501516,-0.02958044,-0.019530762,0.02635828,-0.010213377,0.0,0.0
2030,-0.044655446,-0.027108189,-1.324304,0.0,0.24862182,-0.15693581,0.17378227,0.021233471,-0.006799275,0.0,0.0
2051,-0.055080462,-0.044009253,-1.355578,0.0,0.012471678,-0.075116485,0.10017952,0.0019114515,-0.010282114,0.0,0.0
2065,0.1124626,0.091396146,-1.2350829,0.0,0.008551071,0.0056252424,0.22955632,0.0063802535,-0.007758099,0.0,0.0
2070,-0.05831185,-0.07625106,-1.3976061,0.0,-0.010413664,-0.029406527,0.10421601,0.0113091525,-0.012199635,0.0,0.0
2071,0.06374093,-0.008291068,-1.3941472,0.0,0.020823989,-0.027689546,0.13935898,0.0051593,-0.009788141,0.0,0.0
2077,-0.012852095,-0.0071587665,1.6367732,0.0,-0.005662872,-0.015664764,0.042403024,0.003159602,-0.0046002436,0.0,0.0
