NUM_OPER,FECHA_CORTE,particion,DIASMORA,TARGET,P_xgboost,P_lightgbm,P_ensemble
46,2018-08-31,train,0,0,0.17194256,0.0038818770786939933,0.08791221947177345
46,2018-09-30,train,26,0,0.17194256,0.003568101684702468,0.08775533177477769
46,2018-10-31,train,57,1,0.8377466,0.9989229697760017,0.9183347949771121
46,2018-11-30,train,0,0,0.17194256,0.003568101684702468,0.08775533177477769
46,2018-12-31,train,27,0,0.17194256,0.003568101684702468,0.08775533177477769
46,2019-01-31,train,0,0,0.20107962,0.0022811454935836293,0.10168038370231626
46,2019-02-28,train,24,0,0.16819246,0.00382263196901488,0.08600754655100906
46,2019-03-31,train,55,1,0.8377466,0.9990770797425159,0.9184118499603693
46,2019-04-30,train,57,1,0.8377466,0.9990770797425159,0.9184118499603693
46,2019-05-31,train,0,0,0.16819246,0.004601593920368213,0.08639702752668572
46,2019-06-30,train,0,0,0.16819246,0.003203352402648383,0.08569790676782581
46,2019-07-31,train,27,0,0.16819246,0.003203352402648383,0.08569790676782581
46,2019-08-31,train,58,1,0.8377466,0.9990694595671018,0.9184080398726622
46,2019-09-30,train,88,1,0.8377466,0.9990694595671018,0.9184080398726622
46,2019-10-31,train,119,1,0.8377466,0.9990694595671018,0.9184080398726622
46,2019-11-30,train,149,1,0.8377466,0.9991273191332997,0.9184369696557612
46,2019-12-31,train,180,1,0.8377466,0.9994089974313883,0.9185778088048056
51,2019-09-30,test,51,1,0.8377466,0.9997698248732008,0.9187582225257117
51,2019-10-31,test,82,1,0.8377466,0.9997698248732008,0.9187582225257117
51,2019-11-30,test,112,1,0.8377466,0.9997698248732008,0.9187582225257117
51,2019-12-31,test,143,1,0.8377466,0.9997698248732008,0.9187582225257117
54,2017-05-31,train,0,0,0.1725711,0.005164148760286189,0.0888676208021478
54,2017-06-30,train,0,0,0.17316173,0.005274978134926376,0.08921835415258816
54,2017-07-31,train,0,0,0.17316173,0.005175402177522769,0.08916856617388635
54,2017-08-31,train,0,0,0.17316173,0.007467567587676711,0.09031464887896333
54,2017-09-30,train,0,0,0.17194256,0.008020172237109853,0.08998136705098138
54,2017-10-31,train,0,0,0.17194256,0.005252054777210734,0.08859730832103183
54,2017-11-30,train,0,0,0.17194256,0.005158548823568193,0.08855055534421055
54,2017-12-31,train,0,0,0.17194256,0.0028817323335648152,0.08741214709920886
54,2018-01-31,train,21,0,0.17194256,0.002949507026288387,0.08744603444557064
54,2018-02-28,train,0,0,0.17194256,0.0025568474791188792,0.0872497046719859
54,2018-03-31,train,0,0,0.17194256,0.002397429316685766,0.08716999559076934
54,2018-04-30,train,0,0,0.17194256,0.0030479785249791377,0.08749527019491603
54,2018-05-31,train,21,0,0.17194256,0.0030558233729107696,0.08749919261888184
54,2018-06-30,train,51,1,0.8377466,0.9982906620491756,0.9180186411136991
54,2018-07-31,train,21,0,0.17194256,0.0023014247092643376,0.08712199328705862
54,2018-08-31,train,21,0,0.17194256,0.002767861170998937,0.08735521151792593
54,2018-09-30,train,51,1,0.8377466,0.9982906620491756,0.9180186411136991
54,2018-10-31,train,51,1,0.8377466,0.9982906620491756,0.9180186411136991
54,2018-11-30,train,81,1,0.8377466,0.9982906620491756,0.9180186411136991
54,2018-12-31,train,82,1,0.8377466,0.9982906620491756,0.9180186411136991
54,2019-01-31,train,113,1,0.8377466,0.9961564887564872,0.916951554467355
54,2019-02-28,train,141,1,0.8377466,0.9984783372802322,0.9181124787292274
